BIBLIOGRAFIA INGENIERIA CIVIL EN METALURGIA						
Investigación Operativa	401	2. Hillier, F., Liberman, G. J., Introducción a la investigación de operaciones., me Graw HilI, 1991.	COMPLEMENTARIA	5	10110	
Minerales Industriales 	401	"Gajardo, A., Mendoza, J., López, M., Carrasco, R. Yacimiento de Rocas y Minerales Industriales de la
1lI Región de
Atacama. SERNAGEOMIN, 2004."	NO INDICA	1	22984	
Fundamentos de Materiales para Ingeniería	402	P Shewmon. Transformation In Metals. Mc Graw-H ill. 1969.	NO INDICA	7	9055	0
Fundamentos de Materiales para Ingeniería	402	2. Reed-Hill, Robert E. Introducción a la Metalurgia Física. México, Continental, 1972.	NO INDICA	10	311	
Fundamentos de Materiales para Ingeniería	402	"3. Avner Sidney H. Introducción a la metalurgia física. Editorial Madrid Del Castillo. 2"" edición.1983."	NO INDICA	8	270	
Fundamentos de Materiales para Ingeniería	402	Guy Albert G. Metalurgia física para ingenieros: physicalmetallurgy ofengineers. Bogotá, Colombia,Fondo Educativo Interamericano, l 970	NO INDICA	15	198	
Fundamentos de Materiales para Ingeniería	402	"Askeland Donald R, La ciencia e ingeniería de los materiales. University of Missouri-Rolla. Editorial
Chapman and Hajl 2004."	NO INDICA	32	18280	
Fundamentos de Materiales para Ingeniería	402	"Smith, William F., Fundamentos de la ciencia e ingeniería de materiales, Editorial Madrid: McGrawHill,3a.ed
, 1998."	NO INDICA	1	11487	
Gestión Ambiental	402	"Kiely Gerard, "" Ingeniería ambiental: fundamentos , entornos, tecnologías y sistemas de gestión"", Madrid:"	NO INDICA	0		
Gestión Ambiental	402	"Conesa Fern ández- Vítora, Vicente, "" Instrumentos de Gestión Ambiental en la Empresa"", Madrid Mundi Prensa, 1997, 541p. Ubicación: Biblioteca Central de la Universidad de Atacama."	NO INDICA	2	9862	0
Gestión Ambiental	402	"Gómez Orea Domingo Gómez y Oñate Miguel , ""Auditoría Ambiental: un Instrumento de Gestión en la Empresa"", Madrid Agrícolas Española S.A., 1994, 142p. Ubicación: Biblioteca Central de la Universidad de Atacama."	NO INDICA	2	2556	0
Gestión Ambiental	402	"Empresa"", Madrid Agrícolas Española S.A., 1994, 142p. Ubicación: Biblioteca Central de la Universidad de"	NO INDICA	0		
Gestión Ambiental	402	"Harry M. Freeman, "" Manual de Prevención de la Contamina ción Industrial"", México: McGraw-Hill,1988, 943p . Ubicación: Bib lioteca Central de la Universidad de Atacama"	NO INDICA	2	11006	0
Gestión Ambiental	402	"Lagrega Michael D., Buckingham Phillip L. and Evans Jeffrey C., "" Gestión de Residuos Tóxicos: Tratamiento, eliminación y recuperación de suelos"". McGraw Hill, 1996, 2V 1316p. Ubicación: Biblioteca
Central de la Universidad de Atacama."	NO INDICA	2	11545	0
Gestión Ambiental	402	"Conesa Fernández, Vicente, ""Guía Metodológica para la Evaluación del Impacto Ambiental"", Madrid Ediciones Mundi Prens a, 1997,
4l 2p. Ubicación : Bibl ioteca Central de la Universidad de Atacama."	NO INDICA	1	15132	0
Gestión Ambiental	402	"Coronado Maldonado Margarito y Oropeza Monterrubio Rafael, "" Manual de Prevención y Minimización de la Contaminación Industrial"", Panorama Editorial ,1998, 183p. Ubicación: Biblio teca Central de la Universidad de Atacama."	NO INDICA	1	15130	0
Gestión Ambiental	402	"Chile . Ministerio de Economía, ""Manual de Auditoría en Producción Limpia"", Santiago, Chile : Alfabeta,1998, 175 p. Ubicación : Biblioteca Central de la Universidad de Atacama."	NO INDICA	3	13715	0
Gestión Ambiental	402	Jordán Barahona, José Manuel (1992 ). Evaluación del impacto ambiental E.LA.. Valparaíso: Artes Gráficas Diego .	NO INDICA	0		
Gestión Ambiental	402	Valls, Mario (1992). Derecho ambiental. Buenos Aires: Abeledo -Perrot.	NO INDICA	0		
Gestión de personas 	402	Aguirre, Juan; Dirección y Gestión de Personal, 2006.	NO INDICA	2	21207	0
Gestión de personas 	402	2. Byors, Lloyd ; Gestión de Recursos Humanos, 1995 .	NO INDICA	2	5331	0
Gestión de personas 	402	Gómez, Luis; Gestión de Recursos Humanos, 2008.	NO INDICA	6	23764	0
Gestión de personas 	402	4. Muñoz, Osear; Gestión de Recursos Humanos por Competencias en una Empresa PYME, 2004.	NO INDICA	1	18363	0
Gestión de personas 	402	María Callardo; La Gestión de Recursos Humanos y la Calidad Total, 1995.	NO INDICA	2	7763	0
Gestión de personas 	402	6. Lobos, Juli o; Calidad a través de las Personas, 1998 .	NO INDICA	1	11346	0
Gestión de personas 	402	Ulric, Dave & Brockbank, Wayne; La Propuesta de Valor de Recursos Humanos, 2006.	NO INDICA	3	21952	
Gestión de personas 	402	Costa, Miguel & López Ernesto ; Los Secretos de la Direcc ión: Liderar y Fortalecer Personas y Equipo s, 2009.	NO INDICA	2	22151	
Gestión de personas 	402	Chiavenato, Idalberto; Administración de Recursos Humanos: El Capital Humano de las Organizaciones, 2011 .	NO INDICA	7	20947	
Gestión de personas 	402	10. Cooper, D ominic; Robertson, Iván & Tínline, Gordon; Reclutamiento y Selección: Marco de Actuación para Obtener el Exito, 2004.	NO INDICA	4	18922	0
Hidrometalurgia y Electrometalurgia 	402	11. Gil , Ignacio; Ruiz, Leonor & Ruiz , Jesús; La Nueva Dirección de Personas en la Empresa, 1997.	NO INDICA	1	11478	
Hidrometalurgia y Electrometalurgia 	402	12. Yarela, Ricardo; Administración de Compensación: Sueldos, Salarios y Pre staciones, 2006.	NO INDICA	0		
Hidrometalurgia y Electrometalurgia 	402	"Werther, William; Administración de Recursos Humanos: El Capital Humano de las Organizaciones,2008.
2008."	NO INDICA	1	24728	0
Hidrometalurgia y Electrometalurgia 	402	14. De La Plaza, Javiera; La Inteligencia Asertiva: En la Empresa y el Trabajo, 2009.	NO INDICA	1	23700	
Hidrometalurgia y Electrometalurgia 	402	15. Kossen, Stan; Recursos Humanos en las Organizaciones, 1995.	NO INDICA	1	8942	0
Hidrometalurgia y Electrometalurgia 	402	16. Arias , Fernando; Administración de Recursos Humanos para el Alto Desempeño, 2006.	NO INDICA	1	20961	
Hidrometalurgia y Electrometalurgia 	402	Jaime & Cabrera, Ángel; Dirección Estratégica de Personas: Evidencias y Perspectivas para el Siglo XXI, 2002.	NO INDICA	4	21228	
Mecánica de Fluidos II 	402	"Mott Robert L.,.""Mecánica de Fluidos Aplicada"". Prentice-Hall Hispanoamericana, S.A. México, 1996."	NO INDICA	48	10854	
Mecánica de Fluidos II 	402	"Shames Irving B., "" Mecánica de Fluidos"", McOraw-Hill,3"" Edición, Colombia, 1995."	NO INDICA	7	2465	
Mecánica de Fluidos II 	402	"Ocon y Tojo , ""Problemas de Ingeniería Química"", Ed. Aguilar, España, 1968."	NO INDICA	2	783	0
Mecánica de Fluidos II 	402	"Vega B. Rolando, ""Transporte Hidráulico de Sólidos"", Apuntes Curso Departamento de Capacitación, Universidad de Atacama, 1984."	NO INDICA	31	2866	0
Ingeniería económica	501	Fundamentos de Ingeniería Económica. Autor Gabriel Baca Urbina quinta edición. Editorial Mc Graw Hill	NO INDICA	10	18637	
Ingeniería económica	501	Ingeniería Económica. Autores Leland Blank y Anthony Tarquin séptima edición. Editorial Mc Graw Hill	NO INDICA	12	18636	
Ingeniería económica	501	3. Ingeniería Económica. Autor James L. Riggs tercera edición. Editorial Alfaomega	NO INDICA	1	1237	
Ingeniería económica	501	"Preparación y Evaluación de Proyectos. Autores Nassir y Reinaldo Sapag quinta edic ión. Editorial
McGraw Hill"	NO INDICA	14	27130	
Inglés Comunicacional Intermedio para Ingeniería	501	Le Maistre, Simon. Lewis, Carina. Language to Go . Student's Book. Pre-Intennedaite Leve!. Longman,2002	NO INDICA	0		
Inglés Comunicacional Intermedio para Ingeniería	501	Crace, Araminta. Wileman, Robin. Language to Go . Student's Book. Intennediate Level. Longman, 2002.	NO INDICA	0		
Materiales para Metalurgia Extractiva	501	"Dieter, George. Mechanical Metallurgy, New York, Me. Graw Hill. 3"" edición. 1986."	NO INDICA	7	9035	0
Materiales para Metalurgia Extractiva	501	2. P Shewmon. TransformationIn Metals. Mc Graw-Hill, 1969.	NO INDICA	7	9055	0
Materiales para Metalurgia Extractiva	501	3. Reed-Hill, Robert E. Introducción a la Metalurgia Física. México, Continental, 1972.	NO INDICA	10	311	
Materiales para Metalurgia Extractiva	501	"AvnerSidney H. Introducción a la metalurgia física . Editorial Madrid Del Castillo. 2""edición.1983 ."	NO INDICA	8	270	
Materiales para Metalurgia Extractiva	501	"Guy Albert G. Metalurgia física para ingenieros: physicalmetallurgy of engineers. Bogotá, Colombia, Fondo Educativo Interamericano, 1970
Colombia, Fondo Educativo Interamericano, 1970"	NO INDICA	15	198	
Materiales para Metalurgia Extractiva	501	"Askeland Donald R, La ciencia e ingeniería de los materiales. University of Missouri-Rolla,
Editorial Chapman and Hall 2004."	NO INDICA	32	18280	
Materiales para Metalurgia Extractiva	501	Smith, William F., Fundamentos de la cien cia e ingeniería de materiales, Editorial Madrid:McGraw-Hill, 3a.ed, 1998	NO INDICA	1	11487	
Operación Planta 	501	"ALLIS CHALMERS ""Crushing Handbook"" (2nd edition) AcoPaulista S.A., Brasil 1985."	NO INDICA	0		
Operación Planta 	501	"2. AUSTIN L.O. et al "" Process Engineering ofsize Reduction : BaH Milling"" AIME N.Y. (1984 )."	NO INDICA	1	98	0
Operación Planta 	501	"3. WEISS, N.L. "" SME Mineral Processing Handbook""; Society ofMining Engineering; N.Y. 1985."	NO INDICA	4	110	
Operación Planta 	501	Wills, B. A. Tecnología de Procesamiento de minerales. Editorial Limus, 10 ed., 1987, 568 p.	NO INDICA	2	1530	
Operación Planta 	501	Crozier, R. D. Flotaci ón. PergamonPress, 1992, 343 p.	NO INDICA	1	122	0
Operación Planta 	501	Catálogos de equipos chancado, harneo, molienda, clasificación y flotación	NO INDICA	0		
Operación Planta 	501	"Esteban M. Domic M. "" Hidrometalurgia: fundamentos, procesos y aplicaciones"" (2001)."	NO INDICA	1	17705	
Pirometalurgia	501	"Biswas A. & Davenport W., ""E l Cobre "", Limusa, 1993."	NO INDICA	1	1012	
Pirometalurgia	501	"2. Biswas A. & Davenport W, ""Extractive Metallurgy of Copper'', 1980.2. "	NO INDICA	1	1017	0
Pirometalurgia	501	"3. Davenport W. & Partelpoeg E. ,"" Flash Smelting"", Pergamon Press,1987."	NO INDICA	0		
Pirometalurgia	501	"Peters a"" ""Producción Siderurgica"", Limusa, 1987,"	NO INDICA	1	360	0
Pirometalurgia	501	"Peacey, J.G, "" Alto Horno de Hierro"", Limusa, 1986"	NO INDICA	1	306	0
Pirometalurgia	501	"Coudurier, L. Hopkins, D. Wilkomirsky, I. ""Fundamentos de los Procesos Metalúrgicos"", Universidad de
Concepción, Concepción, 1976"	NO INDICA	2	257	0
Pirometalurgia	501	"Rosenqvist, T. ""Fundamentos de Metalurgia Extractiva"", Limusa, Mexico,1987."	NO INDICA	4	370	0
Pirometalurgia	501	"Habashi F.""Principies of Extractive Metallurgy"" 2nd Ed.,Science Publisher- París"	NO INDICA	7	330	
Pirometalurgia	501	"Ray H. Ghosh, A. ""Principies of Extractive Metallurgy"" 2nd Ed. John Wiley and Sons,1991"	NO INDICA	1	1082	0
Pirometalurgia	501	"Butts Allison.""Metallurgical Problems"" McGraw-Hill Book Company, New Cork and London 1943."	NO INDICA	6	915	
Pirometalurgia	501	"11. Marsden J. and House 1., ""The Chemistry ofGold Extraction"", Ellis Horwood, 1987"	NO INDICA	1	23159	0
Pirometalurgia	501	"Fine A., "" Handbook on material and energy balance calculation in metallurgical processes"" Pennsylvan ia: The metallurgical society
of Aime, 1979"	NO INDICA	4	351	0
Tratamiento de Residuos Industriales 	501	"American Water Works Association, Control de calidad y tratamiento del agua : Manual de abastecimiento públicos de aguas, Madrid: Institu to de Estudios de administración Local, 1975, 734p . Ubicación: Biblioteca
Central de la Universidad de Atacama."	NO INDICA	2	1235	0
Tratamiento de Residuos Industriales 	501	Nalco Chemical Company, Manual de agua: su naturaleza, tratamiento y aplicaciones, México: McGraw Hill, 1993, 600p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	1	45	
Tratamiento de Residuos Industriales 	501	"Metcalf & Eddy, lngenieria sanitaria: Tratamiento, evacuación y reutilizacion de aguas residuales ,
Colombia: Labor, 1994, 969p. Ubicación: Biblioteca Central de la Universidad de Atacama."	NO INDICA	1	10117	0
Tratamiento de Residuos Industriales 	501	"Sanchez, Mario; Vergara, Froilan , Castro, Serg io, Effluent treatment in the miningindustry, Concepcion:University of Concepcion, 1998, 388p. Ubicación: Biblioteca Central de la Universidad de
Atacama."	NO INDICA	3	14090	0
Tratamiento de Residuos Industriales 	501	"Noel de Nevers, "" Ingeniería de Control de la Contaminación del Aire"", McGraw-Hill, 1998, 546p. Biblioteca Central de la Universidad de Atacama."	NO INDICA	2	11004	0
Administración y control de pérdidas	502	Frank E. Femández - Frank E. Bird, Administración del Control de Pérdidas.	NO INDICA	7	791	0
Administración y control de pérdidas	502	William Handley, Manual de Seguridad Industrial.	NO INDICA	6	2395	0
Administración y control de pérdidas	502	Abel Peralta, Curso de Seguridad Industrial. Editorial Reverté, S.A. Barcelona, México, Buenos Aires.	NO INDICA	1	479	0
Administración y control de pérdidas	502	Instituto Interamericano de Administración de Riesgos, Administración de Riesgos.	NO INDICA	0		
Control Automático de Procesos	502	Ingeniería de control moderna. K. Ogata. Prentice-Hall, 1998.	NO INDICA	2	7918	
Control Automático de Procesos	502	Sistemas modernos de control. Teoría y práctica. Richard D. Dorf Addison-Wesley Iberoamericana,1986.	NO INDICA	1	1623	0
Control Automático de Procesos	502	3. Sistemas de control automático. BJ . Kuo. Prentice-Hall, 1996	NO INDICA	3	10858	
Modelación y Simulación de Operaciones Metalúrgicas	502	"SEPULVEDA lE. - OUTIERREZ L. "" Diseño y optimización de plantas concentradoras mediante
modelación matemática CIMM ,
Chile] 985 ."	NO INDICA	0		
Modelación y Simulación de Operaciones Metalúrgicas	502	"AJ. ""Circuitos de Trituración y Molienda de Minerales, su simulación, optimización y diseño y control"" Rocas y Minerales (1980)."	NO INDICA	0		
Modelación y Simulación de Operaciones Metalúrgicas	502	"3. ALLIS CHALMERS ""Crushing Handbook"" (2nd edition) Aco Paulista S.A. , Brasil] 985."	NO INDICA	0		
Modelación y Simulación de Operaciones Metalúrgicas	502	"4. AUSTIN L.O. et al ""Process Engineering Brasil] 985."	NO INDICA	1	98	0
Modelación y Simulación de Operaciones Metalúrgicas	502	"5. WElSS , N.L. ""S ME Mineral Process ing Handbook""; Society ofMining Engineering; N.Y. 1985."	NO INDICA	0		
Modelación y Simulación de Operaciones Metalúrgicas	502	6. Wills, B. A. Tecnología de Procesamiento de minerales. Editoríal Limus, ] o ed., ] 987, 568 p.	NO INDICA	2	1530	
Modelación y Simulación de Operaciones Metalúrgicas	502	7. Crozier, R. D. Flotación. Pergamon Press, 1992 ,343 p.	NO INDICA	1	122	0
Taller de Psicología Laboral 	502	Psicología de las organizaciones Autores: David A. Kolb , Rubin Irwin M., James M. Mcllntyre Año: 1994	OBLIGATORIA	2	4742	
Taller de Psicología Laboral 	502	1. Inteligencia Emocional Autor: Daniel Goleman Año: 2003	COMPLEMENTARIA	2	27107	
Análisis y Optimización de Procesos Industriales	601	Himmenbleau, D. Análisis de procesos y simulación.	NO INDICA	0		
Análisis y Optimización de Procesos Industriales	601	Análisis y optimización de procesos. Curso panamericano de metalurgia extractiva. Universidad de Concepción	NO INDICA	0		
Análisis y Optimización de Procesos Industriales	601	Walpole, Ronald, Myers, Raymond . Probabilidad y estadística .	NO INDICA	7	2207	0
Análisis y Optimización de Procesos Industriales	601	Dimensionamiento y optimización de Plantas Concentradoras mediante Técnicas de Modelación Matemática; Centro de Investigación Minera y Metalúrgica.	NO INDICA	4	132	
Ética Profesional	601	Aristóteles, Ética a Nicómaco.	NO INDICA	1	9792	
Ética Profesional	601	2. Aranguren, José Luis. Ética.	NO INDICA	1	20912	0
Ética Profesional	601	3. Covey, Stephen. Los siete hábitos	NO INDICA	2	11352	
Ética Profesional	601	4. De Saint - Exupery, Antoine. El Principito.	NO INDICA	2	3024	
Ética Profesional	601	5. Echeverria, Rafael. Ontología del Lenguaje.	NO INDICA	3	25855---10488	
Ética Profesional	601	6. Fisher, Robert. El caballero de la armadura oxidad	NO INDICA	5	22632--22996	
Gestión de Empresa	601	Jarillo, Carlos; Dirección Estratégica, 1992 .	NO INDICA	1	457	0
Gestión de Empresa	601	2. Hax, Amoldo & Majluf, Nicolás; Gestión de Empresas con una Visión Estratégica, 1994.	NO INDICA	4	1386	0
Gestión de Empresa	601	"Hax, Amoldo & Majluf, Nicolás; Estrategias para el Liderazgo Competitivo: De la División de los
Resultados,
2004."	NO INDICA	11	18660	0
Gestión de Empresa	601	4. Garrido, San tiago; Direcc ión Est ratégica, 200 6.	NO INDICA	1	24731	0
Gestión de Empresa	601	5. Porter, Michael; Ventaja Competitiva: Creación y Sostenimiento de un Desempeño Superior, 2008.	NO INDICA	3	21947	
Gestión de Empresa	601	6. Francés, Antonio; Estrategias y Planes para la Empresa: Con el Cuadro de Mando Integral, 2006.	NO INDICA	3	23971	0
Taller de Proyecto y Diseño de Plantas. 	601	"Reghezza Andrés, ""Dimensionamiento y Evaluación de Equipos Metalúrgicos"", 1985."	NO INDICA	1	9100	0
Taller de Proyecto y Diseño de Plantas. 	601	Manual de Evaluación Técnico-Económica de Proyectos Mineros de Inversión, Instituto Tecnológico GeoMinero de España, 1995	NO INDICA	4	1429	
Taller de Proyecto y Diseño de Plantas. 	601	"Sepúlveda Jaime y Gutiérrez Leonel, ""Dimensionamiento y Optimización de Plantas Concentradoras
Mediante Técnicas de Modelación matemática"", CIMM, 1986."	NO INDICA	0		
Taller de Proyecto y Diseño de Plantas. 	601	"Mular Andrew L. y Bhappu Roshan B., ""Diseño de Plantas de Procesos de Minerales"", Editorial Rocas y Minerales,
Segunda edición, 1982."	NO INDICA	0		
Taller de Proyecto y Diseño de Plantas. 	601	Avendaño Carlos, Curso Plantas de LIX-SX-EW, Instituto de Ingenieros de Minas de Chile, 1995.	NO INDICA	0		
Taller de Proyecto y Diseño de Plantas. 	601	"Gutiérrez Leonel y Aguilar Osear, "" .CIMM y su Experiencia en la Tecnología de Flotación Columnar"",
CIMM."	NO INDICA	0		
Taller de Proyecto y Diseño de Plantas. 	601	"Millán U. Augusto. ""Evaluación y Factibilidad de Proyectos Mineros"", Editorial Universitaria. 1996."	NO INDICA	13	7324	
Taller de Proyecto y Diseño de Plantas. 	601	Manual de Evaluación Técnico-Económica de Proyectos Mineros de Inversión. Instituto Tecnológico GeoMinero de España. 1995.	NO INDICA	4	1429	
Taller de Proyecto y Diseño de Plantas. 	601	Mine and Mili Equipment Cost  . 1999.	NO INDICA	2	2224	
Taller de Proyecto y Diseño de Plantas. 	601	"Mular, Andrew. ""Mineral processing equipment costs and preliminary capital cost estimations"". Canadá: The canadian institute of mining and metallurgy, 1978."	NO INDICA	1	2116	0
Taller de Proyecto y Diseño de Plantas. 	601	"Mular, Andrew. Mining and mineral processing equipment cost estimations. Montreal: The institute of
mining and metallurgy, 1982."	NO INDICA	1	1487	0
Taller de Proyecto y Diseño de Plantas. 	601	"12. Westem Mine, (1999) Chía A., Juan y Chía A. , Luis. ""C"	NO INDICA	0		
Trabajo de Titulación	602	Metodología De La Investigación 5° Edición, ISBN: 978607 1502919, Hemández Sampieri,Roberto; Editorial: McGraw-Hill	NO INDICA	18	25115	
Trabajo de Titulación	602	Metodología De La Investigación Edición 20 10, ISBN: 9786124034503, Quezada, Nel; Editorial : Empresa Editora Macro	NO INDICA	0		
