ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA	AÑO	TIPO DE BIBLIOGRAFIA	Disponibilidad	COPIAS DISPONIBLES	NRO DE BIB#
Psicología Organizacional y del Trabajo	301	De La Plaza, Javiera. (2009). La Inteligencia Asertiva. Aguilar Chilena de Ediciones S.A. Chile.	2009	NO INDICA	DISPONIBLE	1	24080
Psicología Organizacional y del Trabajo	301	Campbell, Susan. (1997). Del Caos a la Confianza. Paidós. Argentina.	1997	NO INDICA	DISPONIBLE	1	14130
Psicología Organizacional y del Trabajo	301	Alcover, C., Martínez, D., Rodríguez, F., Domínguez, R. Introducción a la Psicología del Trabajo. McGraw-Hill. España.		NO INDICA	DISPONIBLE	2	22760
Psicopatología Infanto-juvenil	301	Almonte, C., Montt, M., & Correa, A. (2003). Psicopatología infantil y de la adolescencia. Santiago: Mediterraneo.	2003	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Americana, d. P. (2014). Manual diagnóstico y estadístico de los trastornos mentales DSM-V. España: Panamericana.	2014	NO INDICA	DISPONIBLE	5	26712
Psicopatología Infanto-juvenil	301	Arnedo, Bembibre, & Triviño. (s.f.). Neuropsicologia a través de casos clínicos. Panamericana.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Ballesteros, F. (s.f.). Introducción a la evaluación psicológica, Tomo I y II.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Belloch, A., Sandín, B., & Ramos, F. (s.f.). Manual de psicopatología I-II. España: Mc Graw- Hill.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Caponni, R. (1987). Psicopatología y semiología psiquiátrica. Santiago: Universitaria.	1987	NO INDICA	DISPONIBLE	5	1424
Psicopatología Infanto-juvenil	301	Chile, C. d. (1990). CÓDIGO DE ÉTICA PROFESIONAL. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	1990	NO INDICA	DISPONIBLE	1	14816
Psicopatología Infanto-juvenil	301	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Gil, R. (2006). Manual de neuropsicología. Elsevier Masson.	2006	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	González, B. (2012). Daño cerebral adquirido: evaluación, diagnóstico y rehabilitación. España: Síntesis.	2012	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	J.Portellano. (s.f.). Introducción a la neuropsicología. MC Graw Hill.		NO INDICA	DISPONIBLE	1	25861
Psicopatología Infanto-juvenil	301	Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Leveton, E. (1988). El adolescente en crisis. Mexico: Pax Mexico.	1988	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Levisky, D. (1998). Adolescencia:Reflexiones Psicoanalíticas. Buenos Aires: Lumen.	1998	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	OMS, O. M. (2003). DÉCIMA REVISIÓN DE LA CLASIFICACIÓN INTERNACIONAL DE LAS ENFERMEDADES CIE-10.	2003	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Parmelee, D., & David, R. (s.f.). Psiquaitría del niño y el adolescente. España: Harcourt Brace.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Salud, O. P. (2006). Guia práctica de salud mental en situaciones de desastres. OPS/OMS.	2006	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Scandar, R. (2003). El niño que no podía dejar de portarse mal. Buenos Aires: Distal.	2003	NO INDICA	NO disponible	0	
Taller de Desarrollo Personal III	301						
Apresto Laboral	302						
Psicología Educacional y Problemáticas de Contingencia Actual	302	Coll, C; Palacios, J. y Marchesi, A.(2002) Desarrollo Psicológico y Educación. Tomo II. Madrid. España: Editorial Alianza.	2002	OBLIGATORIA	DISPONIBLE	10	22513
Psicología Educacional y Problemáticas de Contingencia Actual	302	Grande, B. y Pemoff, J. (2002) Innovación Educativa Institucional. Argentina. Ediciones Magisterio del Rio de La Plata.	2002	OBLIGATORIA	DISPONIBLE	1	16719
Psicología Educacional y Problemáticas de Contingencia Actual	302	Santos, Miguel Ángel (2002). La Escuela que aprende. Tercera edición. Madrid. España. Ediciones Morata	2002	OBLIGATORIA	DISPONIBLE	1	22456
Psicología Educacional y Problemáticas de Contingencia Actual	302	Arancibia, V., Herrera, P., Strasser, K., (2005). Manual de Psicología Educacional. Santiago de Chile: Ediciones Universidad Católica de Chile.	2005	OBLIGATORIA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Americana, d. P. (2014). Manual diagnóstico y estadístico de los trastornos mentales DSM-V. España: Panamericana.	2014	NO INDICA	DISPONIBLE	5	26712
Psicopatología del Adulto y del Adulto Mayor	302	Arnedo, Bembibre, & Triviño. (s.f.). Neuropsicologia a través de casos clínicos. Panamericana.		NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Ballesteros, F. (s.f.). Introducción a la evaluación psicológica, Tomo I y II.		NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Belloch, A., Sandín, B., & Ramos, F. (s.f.). Manual de psicopatología I-II. España: Mc Graw- Hill.		NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Caponni, R. (1987). Psicopatología y semiología psiquiátrica. Santiago: Universitaria.	1987	NO INDICA	DISPONIBLE	5	1424
Psicopatología del Adulto y del Adulto Mayor	302	Chile, C. d. (1990). CÓDIGO DE ÉTICA PROFESIONAL. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	1990	NO INDICA	DISPONIBLE	1	14816
Psicopatología del Adulto y del Adulto Mayor	302	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.		NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	GIL, R. (2006). MANUAL NEUROPSICOLOGIA. EDIT ELSEVIER MASSON.	2006	NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	GONZALEZ, B. (2012). DAÑO CEREBRAL ADQUIRIDO: EVALUACIÓN, DIAGNÓSTICO Y REHABILITACIÓN. ESPAÑA: SÍNTESIS .	2012	NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	J.PORTELLANO. (s.f.). INTRODUCCIÓN A LA NEUROPSICOLOGÍA. MC GRAW HILL.		NO INDICA	DISPONIBLE	1	25861
Psicopatología del Adulto y del Adulto Mayor	302	Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	OMS, O. M. (2003). DÉCIMA REVISIÓN DE LA CLASIFICACIÓN INTERNACIONAL DE LAS ENFERMEDADES CIE-10.	2003	NO INDICA	NO disponible	0	
Psicopatología del Adulto y del Adulto Mayor	302	Salud, O. P. (2006). Guia práctica de salud mental en situaciones de desastres. OPS/OMS.	2006	NO INDICA	NO disponible	0	
Taller de Integración III	302	Almonte, C., Montt, M., & Correa, A. (2009). Psicopatología infantil y de la adolescencia . Santiago, Chile: Mediterraneo.	2009	NO INDICA	NO disponible	0	
Taller de Integración III	302	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Taller de Integración III	302	Siquier de Ocampo, M., García, M. y Grassano, E. (2008). Las técnicas proyectivas y el proceso psicodiagnóstico. Buenos Aires, Argentina: Nueva Visión.	2008	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Alicia Passalacqua, A. C. (s.f.). Psicodiagnóstico : Sistematización de Rorchach y nuevos aportes. Klex.		NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Bohm, E. (2001). Manual Psicodiagnóstico del Rorschach. Morata.	2001	NO INDICA	DISPONIBLE	2	25700
Técnicas Proyectivas	302	Ceberio, M. (1996). Fenómenos Especiales . Buenos Aires : Ediciones Culturales Universitarias Argentina.	1996	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Gravenhorst, M. (1996). Los fenómenos especiales en Rorschach. Argentina: JVE Psique.	1996	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Hammer, E. (s.f.). Test Proyectivos Gráficos. Buenos Aires: Paidos.		NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Kacero, E. (2009). Rorschach: Transformaciones entre la imagen y la palabra. Buenos Aires: Lugar Editorial.	2009	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Ocampo, M. S., Arceno, M. G., & Pícolo, E. G. (s.f.). Técnicas proyectivas y el proceso Psicodiagnóstico. Buenos Aires: Nueva Visión.		NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Rorschach, H. (2000). Psicodiagnóstico: Una prueba diagnóstica basada en la percepción. Mexico: Manual Moderno.	2000	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Silvia Querol, M. C. (2005). Test de la Persona bajo la lluvia: Adapatación y aplicación. Argentina: Lugar.	2005	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Silvia Querol, S. A. (2008). Evaluación laboral: Test de la persona bajo la lluvia y análisis grafológicodel relato . Buenos Aires: Lugar.	2008	NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Warren., J. N. (s.f.). Manual de interpretación del test casa, arbol, persona. España: Tea Ediciones.		NO INDICA	NO disponible	0	
Técnicas Proyectivas	302	Weigle, C. (2007). Cómo interpretar el Rorschach: Su articulación con el psicoanálisis. Buenos Aires: Gráfica Printer S.A.	2007	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Alicia Passalacqua, A. C. (s.f.). Psicodiagnóstico : Sistematización de Rorchach y nuevos aportes. Klex.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	ALMONTE, C., MONTT, M., & CORREA, A. (2009). PSICOPATOLOGÍA INFANTIL Y DE LA ADOLESCENCIA . SANTIAGO, CHILE: MEDITERRANEO.	2009	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	ARNEDO, BEMBIBRE, & TRIVIÑO. (s.f.). NEUROPSICOLOGÍA A TRAVÉS DE CASOS CLÍNICOS. PANAMERICANA.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Ballesteros, F. (s.f.). Introducción a la evaluación psicológica, Tomo I y II.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	BELLACK, L. (s.f.). TAT para niños (CAT). . Editorial Paidós.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Bender, L. (s.f.). Test Gestáltico Psicomotor: Usos y aplicaciones clínicas. Buenos Aires: Paidos.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Bohm, E. (2001). Manual Psicodiagnóstico del Rorschach. Morata.	2001	NO INDICA	DISPONIBLE	2	25700
Psicodiagnóstico Integrado	401	Cattaneo, B. (2005). Informe psicológico: Elaboración y características en diferentes ámbitos. Buenos Aires: Eudeba.	2005	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Cattell. (1980). Cuestionario de 16 PF5 Factores de Personalidad. Manual Moderno. .	1980	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Ceberio, M. (1996). Fenómenos Especiales . Buenos Aires : Ediciones Culturales Universitarias Argentina.	1996	NO INDICA	DISPONIBLE	2	
Psicodiagnóstico Integrado	401	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Doll, E. (2012). Escala de madurez social de Vineland: Adapatación Chilena. Dwarf.	2012	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	E.M García Pérez, A. M. (s.f.). EMA-D.D.A. ESCALA MAGALLANES DE DETECCION DE DEFICIT DE ATENCION. ALBOR-COHS.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Golden, C. (2010). Test de colores y palabras de Stroop. España: Tea Ediciones.	2010	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Gravenhorst, M. (1996). Los fenómenos especiales en Rorschach. Argentina: JVE Psique.	1996	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Hammer, E. (s.f.). Test Proyectivos Gráficos. Buenos Aires: Paidos.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	J.N. Butcher, J. G.-P. (s.f.). Test Inventario Multifásico de personalidad de Minnesota 2. Tea Ediciones.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Kacero, E. (2009). Rorschach: Transformaciones entre la imagen y la palabra. Buenos Aires: Lugar Editorial.	2009	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Klopfer, B. (s.f.). Técnica del Psicodiagnóstico. . Editorial Paidós.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Lobos, A. (s.f.). Examen Cognoscitivo Mini-Mental. España: Tea Ediciones.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Margarita Haeussler, T. M. (s.f.). Test de desarrollo Psicomotor de 2-5 años. Santiago: Universidad Católica.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Murray, H. (s.f.). Manual para aplicación del TAT. Buenos Aires: Editorial Paidós.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Ocampo, M. S., Arceno, M. G., & Pícolo, E. G. (s.f.). Técnicas proyectivas y el proceso Psicodiagnóstico. Buenos Aires: Nueva Visión.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Paulina Kernberg, A. W. (2000). Trastornos de personalidad en niños y adolescentes. Mexico: Manual Moderno.	2000	NO INDICA	DISPONIBLE	2	26659
Psicodiagnóstico Integrado	401	Phillipson, H. (s.f.). Manual de aplicación del test de relaciones objetales.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Rey, A. (s.f.). Test de copia y reproducción de memoria y figuras geométricas complejas. España: Tea Ediciones .		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Rivera, O. (1991). Interpretación del MMPI en Psicología Clínica, Laboral y Educativa. Edit. Manual Moderno. .	1991	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Rorschach, H. (2000). Psicodiagnóstico: Una prueba diagnóstica basada en la percepción. Mexico: Manual Moderno.	2000	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	ROSSELLI, E. M. (2010). NEUROPSICOLOGÍA DEL DESARROLLO INFANTIl. MÉXICO: EDIT. MANUAL MODERNO .	2010	NO INDICA	DISPONIBLE	3	24807
Psicodiagnóstico Integrado	401	Silvia Querol, M. C. (2005). Test de la Persona bajo la lluvia: Adapatación y aplicación. Argentina: Lugar.	2005	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Silvia Querol, S. A. (2008). Evaluación laboral: Test de la persona bajo la lluvia y análisis grafológicodel relato . Buenos Aires: Lugar.	2008	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Soledad Rodríguez, V. A. (s.f.). Escala de desarrollo psicomotor de 0 a 24 meses (EEDP). Galdoc.		NO INDICA	DISPONIBLE	7	14647
Psicodiagnóstico Integrado	401	Valeria Ramírez, R. R. (2009). Test de Inteligencia para niños de Weschler III: Manual de administración y puntuación. Normas de estandarización chilena. Santiago: Ediciones Universidad Católica.	2009	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Verthelyi, R. F. (s.f.). Actualizaciones en el Test de Phillipson. Paidós.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Warren., J. N. (s.f.). Manual de interpretación del test casa, arbol, persona. España: Tea Ediciones.		NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Weigle, C. (2007). Cómo interpretar el Rorschach: Su articulación con el psicoanálisis. Buenos Aires: Gráfica Printer S.A.	2007	NO INDICA	NO disponible	0	
Psicodiagnóstico Integrado	401	Weschler. (2014). La Escala Wechsler de Inteligencia para Adultos - Cuarta edición . Santiago: Ediciones Universidad Católica.	2014	NO INDICA	NO disponible	0	
Psicología en el contexto Escolar	401	Arancibia, V., Herrera, P., Strasser, K., (2005). Manual de Psicología Educacional. Santiago de Chile: Ediciones Universidad Católica de Chile.	2005	OBLIGATORIA	NO disponible	0	
Psicología en el contexto Escolar	401	Coll, C; Palacios, J. y Marchesi, A.(2002) Desarrollo Psicológico y Educación. Tomo II. Madrid. España: Editorial Alianza.	2002	OBLIGATORIA	DISPONIBLE	10	22513
Psicología en el contexto Escolar	401	Condemarín; Chadwick; Milicic, (2006). Madurez Escolar, Edit. Andrés Bello.	2006	OBLIGATORIA	DISPONIBLE	1	22505
Psicología en el contexto Escolar	401	Grande, B. y Pemoff, J. (2002) Innovación Educativa Institucional. Argentina. Ediciones Magisterio del Rio de La Plata.	2002	OBLIGATORIA	DISPONIBLE	1	16719
Psicología en el contexto Escolar	401	Santos, Miguel Ángel (2002). La Escuela que aprende. Tercera edición. Madrid. España. Ediciones Morata.	2002	OBLIGATORIA	DISPONIBLE	1	22456
Psicología en el contexto Escolar	401	Soto, A., Strasser, S. (2007). Casos para el Estudio de la Psicología Educacional. Santiago de Chile: Ediciones Universidad Católica de Chile.	2007	OBLIGATORIA	NO disponible	0	
Taller de Integración IV	402	Almonte, C., Montt, M., & Correa, A. (2009). Psicopatología infantil y de la adolescencia . Santiago, Chile: Mediterraneo.	2009	NO INDICA	NO disponible	0	
Taller de Integración IV	402	Corsi. J. (1995). Violencia masculina en la pareja: Una aproximación al diagnóstico y a los modelos de intervención. Buenos Aires, Argentina: Paidos	1995	NO INDICA	DISPONIBLE	1	10543
Taller de Integración IV	402	Fernández, A. y Rodríguez, B. (2002). Intervención en crisis. Madrid, España: Síntesis.	2002	NO INDICA	DISPONIBLE	1	21565
Taller de Integración IV	402	Fischer, G. (1992). Campos de intervención en psicología social: Grupo - Institución cultural - ambiente social. Madrid, España: Narcea.	1992	NO INDICA	DISPONIBLE	2	11938
Taller de Integración IV	402	Garrido, V. (2005). Qué es la psicología criminológica. Madrid, España: Biblioteca Nueva.	2005	NO INDICA	NO disponible	0	
Taller de Integración IV	402	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Taller de Integración IV	402	Siquier de Ocampo, M., García, M. y Grassano, E. (2008). Las técnicas proyectivas y el proceso psicodiagnóstico. Buenos Aires, Argentina: Nueva Visión.	2008	NO INDICA	NO disponible	0	
Proyecto de seminario de grado	501	HERNÁNDEZ SAMPIERI R. (2006) Metodología de la Investigación. Editorial McGraw - Hill. Pais Mexico	2006	OBLIGATORIA	DISPONIBLE	37	5098-22516-25115-25859-28759
Proyecto de seminario de grado	501	DELGADO, J. (1995), Métodos y Técnicas Cualitativas de Investigación en Ciencias Sociales; Editorial Síntesis S.A, España.	1995	OBLIGATORIA	DISPONIBLE	19	3649
Proyecto de seminario de grado	501	RODRÍGUEZ, G.; GIL, J. Y GARCÍA, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L.	1996	OBLIGATORIA	NO disponible	0	
Proyecto de seminario de grado	501	PEREZ SERRANO, GLORIA (1998), Metodología de la Investigación Cualitativa, Retos e Interrogantes, Tomo I y II.	1998	OBLIGATORIA	NO disponible	0	
Proyecto de seminario de grado	501	KERLINGER. F. (1985). Investigación del comportamiento. New York, Editorian Mc Graw Hill. Código: 001.4 K39	1985	OBLIGATORIA	DISPONIBLE	1	4774
Proyecto de seminario de grado	501	BUNGE, M. (1978). La ciencia: su método y su filosofía. Buenos Aires: Edic. Siglo XX. Pág. 9-68.	1978	OBLIGATORIA	DISPONIBLE	8	2939
Proyecto de seminario de grado	501	SIERRA BRAVO, R. (1993). Técnica de investigación social. Madrid: Editorial Paraninfo. (Capítulos 1,2 y 3).	1993	OBLIGATORIA	NO disponible	0	
Proyecto de seminario de grado	501	CAMPBELL D. Y STANLEY J. (1988). Diseños experimentales y cuasiexpermentales en la investigación social. Buenos Aires: Amorrortu editores. (pág. 9 – 110)	1988	OBLIGATORIA	DISPONIBLE	4	22489
Proyecto de seminario de grado	501	LEÓN, O. E MONTERO, I. (1993). Diseños de investigaciones. España: McGraw-Hill. (Capítulo 4, 5, 6, 7, 8 y 9)	1993	OBLIGATORIA	NO disponible	0	
Seminario de grado y defensa	501	HERNÁNDEZ SAMPIERI R. (2006) Metodología de la Investigación. Editorial McGraw - Hill. Pais Mexico	2006	OBLIGATORIA	DISPONIBLE	1	22516
Seminario de grado y defensa	501	DELGADO, J. (1995), Métodos y Técnicas Cualitativas de Investigación en Ciencias Sociales; Editorial Síntesis S.A, España.	1995	OBLIGATORIA	DISPONIBLE	19	3649
Seminario de grado y defensa	501	RODRÍGUEZ, G.; GIL, J. Y GARCÍA, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L.	1996	OBLIGATORIA	NO disponible	0	
Seminario de grado y defensa	501	PEREZ SERRANO, GLORIA (1998), Metodología de la Investigación Cualitativa, Retos e Interrogantes, Tomo I y II.	1998	OBLIGATORIA	DISPONIBLE	16	11598
Seminario de grado y defensa	501	KERLINGER. F. (1985). Investigación del comportamiento. New York, Editorian Mc Graw Hill. Código: 001.4 K39	1985	OBLIGATORIA	DISPONIBLE	1	4774
Seminario de grado y defensa	501	BUNGE, M. (1978). La ciencia: su método y su filosofía. Buenos Aires: Edic. Siglo XX. Pág. 9-68.	1978	OBLIGATORIA	DISPONIBLE	8	2939
Seminario de grado y defensa	501	SIERRA BRAVO, R. (1993). Técnica de investigación social. Madrid: Editorial Paraninfo. (Capítulos 1,2 y 3).	1993	OBLIGATORIA	DISPONIBLE	4	22489
Seminario de grado y defensa	501	CAMPBELL D. Y STANLEY J. (1988). Diseños experimentales y cuasiexpermentales en la investigación social. Buenos Aires: Amorrortu editores. (pág. 9 – 110)	1988	OBLIGATORIA	DISPONIBLE	11	7316
Seminario de grado y defensa	501	LEÓN, O. E MONTERO, I. (1993). Diseños de investigaciones. España: McGraw-Hill. (Capítulo 4, 5, 6, 7, 8 y 9)	1993	OBLIGATORIA	NO disponible	0	
Inglés I	101 – semestre 1						
Epistemología de las Ciencias Sociales	101– semestre 1	Bunge, M. (1960/1997). La ciencia, su método y su filosofía. Buenos Aires, Argentina: Sudamericana.	1960	OBLIGATORIA	DISPONIBLE	8	2939
