PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022								
								
CARRERA:	Técnico universitario en Mantención Mecánica de Equipos Industriales							
								
								
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	N° DE BIB	CANTIDAD COPIA BTCA CENTRAL 	CANTIDAD COPIAS VALLENAR	Disponibilidad central 	Disponibilidad Vallenar
Comprensión Oral y Escrita	110	Fournier, M. C. (2004). Comunicación verbal. México: Thomson.	Obligatoria	20870	5	0	1	
Comprensión Oral y Escrita	110	Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	Obligatoria	12042	10	0	1	
Comprensión Oral y Escrita	110	"Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y
metacognitivas para comprender textos escritos : Educación Primaria, 1er y 2o.
ciclos. Madrid: Escuela Española."	Obligatoria	11626	2	0	1	
Comprensión Oral y Escrita	110	"Verderber, R. F. (1999). Comunicación oral efectiva. México: International
Thomson."	Obligatoria	22706	3	0	1	
Matemática Aplicada	110	"Britton, J. R., & Bello, I. (January 01, 1986). Álgebra y trigonometría
contemporáneas."	Obligatoria	8916	3	0	1	
Matemática Aplicada	110	"Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría
analítica. México: Grupo Edit. Iberoamérica."	Obligatoria	2567	8	0	1	
Matemática Aplicada	110	"Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento
y aplicaciones. México: Pearson."	Complementaria	22704	2	0	1	
Gestión de la Informática	110	Jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	Obligatoria	22931	1	0	1	
Gestión de la Informática	110	Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	Obligatoria	22925	3	0	1	
Gestión de la Informática	110	"Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya
Multimedia."	Obligatoria	20743	1	0	1	
Gestión de la Informática	110	"Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y
consejos. Argentina: Grami."	Obligatoria	22697	2	0	1	
Gestión de la Informática	110	Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.	Obligatoria	19430	3	0	1	
Gestión de la Informática	110	"Online Training Solutions, Inc. (2004). Microsoft Office Word 2003 paso a paso.
Madrid: McGraw-Hill, Interamericana de España."	Obligatoria	22688	3	0	1	
Gestión de la Informática	110	Luque, C. M. J. (2001). Microsoft PowerPoint 2002: Office XP. Madrid: Anaya Multimedia.	Complementaria	21010	5	0	1	
Tecnología Mecánica y Elementos de Máquina	110	"Robert L. Mott; trad. Arturo Córdova Just. (1995). Diseño de elementos de
máquinas. México: Prentice Hall Hispanoamericana."	No indica	10788	3	0	1	
Tecnología Mecánica y Elementos de Máquina	110	"Ferrer Giménez Carlos, Amigó Borras, Vicente. (2005). Tecnología de materiales.
Valencia: Universidad Politécnica de Valencia."	No indica	22661	4	10	1	1
Tecnología Mecánica y Elementos de Máquina	110	"R. L. Timings; trad. Naves Ruiz, Juan. (2001). Tecnología de la fabricación.
México: Alfaomega."	No indica	22757	18	0	1	
Tecnología Mecánica y Elementos de Máquina	110	SKF. Catálogo General, Edición de Taller. (2006). Suecia	No indica	0	0	0	0	0
Dibujo Técnico e Interpretación de Planos Mecánicos	110	"Apilluelo, A., MANUEL, J., Ibañez Carabantes, P., & UBIETO ARTUR, P. E. D. R. O.
(2005). Dibujo industrial. Conjuntos y despieces: conjuntos y despieces. Ediciones
Paraninfo, SA."	Obligatoria	22500	5	0	1	
Dibujo Técnico e Interpretación de Planos Mecánicos	110	"Cobos Gutierrez, C., & CIDONCHA, R. (1999). Ejercicios de dibujo técnico: resueltos y
comentados. Alfaomega Grupo Editor,."	Obligatoria	18102	7	0	1	
Dibujo Técnico e Interpretación de Planos Mecánicos	110	"Martínez, M. L., Cabanellas, J. M., Carretero, A., & Félez, J. (1996). Fundamentos
ingeniería gráfica. Síntesis."	Obligatoria	0	0	0	0	0
Dibujo Técnico e Interpretación de Planos Mecánicos	110	"Navarro Jover, J. M. (2019). AutoCAD 2019. Iniciación al entorno del diseño 3D. Punto
de vista, estilos visuales, y navegación 3D."	Complementaria	0	0	0	0	0
Dibujo Técnico e Interpretación de Planos Mecánicos	110	"Leach, J., Lockhart, S., & Tilleson, E. (2019). AutoCAD 2020 Instructor. Sdc
Publications."	Complementaria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	"Luque Romera, Francisco Javier. (2011), Control y verificación de productos
fabricados: operaciones auxiliares de fabricación mecánica (UF0443). IC Editorial"	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	"Gallardo Rodríguez, Francisco. (2012), Técnicas de mecanizado y metrología
(UF1213). IC Editorial"	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	"Ramírez Tapia, Moisés. (2010), Metrología y normalización. Instituto Politécnico
Nacional"	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	"Lleó, Atanasio. (2011), Gran manual de magnitudes físicas y sus unidades : un
estudio sistemático de 565 magnitudes físicas : cómo utilizar el sistema
internacional de unidades si en la ciencia y la ingeniería, hoy obligatorio en todo
el mundo. Ediciones Díaz de Santos"	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	"Chávez Aparacio, Francisco. (2009), Introducción a la metrología dimensional.
Instituto Técnico Nacional"	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	Figliola, R. S.. (2008), Mediciones mecánicas: teoría y diseño. Alfaomega	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	González González, Carlos. (1998), Metrología. McGraw Hill Interamericana	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	Compain, Louis. (1987), Metrología de taller. Urmo	Obligatoria	0	0	0	0	0
Metrología y Fundamentos Mecánicos	110	Galicia Sánchez, H. Roberto. (2001), Metrología geométrica dimensional. AGT	Obligatoria	0	0	0	0	0
Taller I Equipos Fijos	110	"Robert L. Mott; trad. Arturo Córdova Just. (1995). Diseño de elementos de
máquinas. México: Prentice Hall Hispanoamericana."	No indica	10788	3	0	1	
Taller I Equipos Fijos	110	"Ferrer Giménez Carlos, Amigó Borras, Vicente. (2005). Tecnología de materiales.
Valencia: Universidad Politécnica de Valencia."	No indica	22661	4	10	1	1
Taller I Equipos Fijos	110	"R. L. Timings; trad. Naves Ruiz, Juan. (2001). Tecnología de la fabricación.
México: Alfaomega."	No indica	22757	18	0	1	
Taller I Equipos Fijos	110	SKF. Catálogo General, Edición de Taller. (2006). Suecia	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Navarro Jover, J. M. (2019). AutoCAD 2019. Iniciación al entorno del diseño 3D.
Punto de vista, estilos visuales, y navegación 3D."	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Leach, J., Lockhart, S., & Tilleson, E. (2019). AutoCAD 2020 Instructor. Sdc
Publications."	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Luque Romera, Francisco Javier. (2011), Control y verificación de productos
fabricados: operaciones auxiliares de fabricación mecánica (UF0443). IC Editorial"	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Gallardo Rodríguez, Francisco. (2012), Técnicas de mecanizado y metrología
(UF1213). IC Editorial"	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Ramírez Tapia, Moisés. (2010), Metrología y normalización. Instituto Politécnico
Nacional"	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Lleó, Atanasio. (2011), Gran manual de magnitudes físicas y sus unidades : un
estudio sistemático de 565 magnitudes físicas : cómo utilizar el sistema
internacional de unidades si en la ciencia y la ingeniería, hoy obligatorio en todo
el mundo. Ediciones Díaz de Santos"	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	"Chávez Aparicio, Francisco. (2009), Introducción a la metrología dimensional.
Instituto Técnico Nacional"	No indica	0	0	0	0	0
Taller I Equipos Fijos	110	Figliola, R. S.. (2008), Mediciones mecánicas: teoría y diseño. Alfaomega	No indica	0	0	0	0	0
Inglés II	120	UDA English Center. (2018). Material propio elaborado por académicos.	Obligatoria	0	0	0	0	0
Inglés II	120	"Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United
Kingdom: Cambridge University Press."	Complementaria	28320	20	0	1	
Inglés II	120	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	27074	12	0	1	
Inglés II	120	"McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.).
Cambridge University Press."	Complementaria	28297	1	0	1	
Inglés II	120	"Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University
Press."	Complementaria	26240	2	0	1	
Inglés II	120	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	27243	3	0	1	
Transmisión de Movimiento y Alineamiento	120	"GARCÍA, S. (2009) Manual práctico para la gestión eficaz del mantenimiento.
Santiago.Renovetec"	No indica	0	0	0	0	0
Transmisión de Movimiento y Alineamiento	120	"GÓMEZ DE LEÓN, F. C. (1998). Tecnología del Mantenimiento Industrial.Murcia.
Universidad de Murcia"	No indica	0	0	0	0	0
Transmisión de Movimiento y Alineamiento	120	MONCHY, F. (1990). Teoría y Práctica del Mantenimiento Industrial. Masson SA	No indica	0	0	0	0	0
Transmisión de Movimiento y Alineamiento	120	"VALVERDE MARTINEZ. A.(1996). Análisis de la disponibilidad de los equipos
dinámicos y su incidencia en el mantenimiento de plantas
industriales.Murcia.Consejo Económico y Social de la Región de Murcia"	No indica	0	0	0	0	0
Transmisión de Movimiento y Alineamiento	120	Dubbel, H.(1977). Manual del Constructor de Máquinas. Ed. Labor	No indica	214	9	0	1	
Transmisión de Movimiento y Alineamiento	120	Casillas A. L. (1998). Máquinas: Cálculos de Taller. España. Ed Máquinas	No indica	0	0	0	0	0
Tren de Potencia	120	"184.2 (1964). Tratado de procedimientos generales de construcción: Maquinaria
general en obras y movimientos de tierra (Vol. 1). Reverté."	No indica	184	2	0	1	
Tren de Potencia	120	"Ibáñez, S. P. (2013). Mantenimiento de sistemas auxiliares del motor de ciclo diésel.
TMVG0409. IC Editorial."	No indica	0	0	0	0	0
Tren de Potencia	120	"Melchor, J. C. R. (2013). Mantenimiento de sistemas auxiliares del motor de ciclo Otto.
TMVG0409. IC Editorial."	No indica	0	0	0	0	0
Tren de Potencia	120	Alonso, J. M. (2001). Sistemas de transmisión y frenado.	No indica	0	0	0	0	0
Tren de Potencia	120	"Fernández, F. J. G. (2005). Teoría y práctica del mantenimiento industrial avanzado. FC
editorial."	No indica	0	0	0	0	0
Tren de Potencia	120	"Bernardini, E., & Franco, J. B. (1981). Tecnología de aceites y grasas (No. 664.3 B47
1981.). Alhambra."	No indica	0	0	0	0	0
Automatización y Control Industrial 	120	"Cirovic, M. M. (1979). Electrónica fundamental: dispositivos, circuitos y sistemas.
Reverté."	Obligatoria	27132	0	2	0	0
Automatización y Control Industrial 	120	"Boylestad, R. L., & Nashelsky, L. (2003). Electrónica: teoría de circuitos y
dispositivos electrónicos. PEARSON educación."	Obligatoria	22558	0	2	0	0
Automatización y Control Industrial 	120	Ogata, K. (2003). Ingeniería de control moderna. Pearson Educación.	Obligatoria	18648	4	10	1	1
Automatización y Control Industrial 	120	"Pérez, E. M., Acevedo, J. M., & Silva, C. F. (2009). Automatas programables y
sistemas de automatizacion/PLC and Automation Systems. Marcombo"	Complementaria	22300	6	0	1	
Gestión del Mantenimiento	120	"Maco Diaz, C. E., & Palomino Villanueva, M. L. (2019). Análisis de experiencias
exitosas en la gestión de mantenimiento de empresas industriales: una revisión
de la literatura científica"	Obligatoria	0	0	0	0	0
Gestión del Mantenimiento	120	 Prandon, R. (1996). Manual de gestión de Mantenimiento a la medida.	Obligatoria	0	0	0	0	0
Taller II Equipos Móviles	120	"GÓMEZ DE LEÓN, F. C. (1998). Tecnología del Mantenimiento Industrial.Murcia.
Universidad de Murcia."	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	 MONCHY, F. (1990). Teoría y Práctica del Mantenimiento Industrial. Masson SA	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	"VALVERDE MARTINEZ. A.(1996). Análisis de la disponibilidad de los equipos
dinámicos y su incidencia en el mantenimiento de plantas
industriales.Murcia.Consejo Económico y Social de la Región de Murcia"	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	Dubbel, H.(1977). Manual del Constructor de Máquinas. Ed. Labor	No indica	214	9	0	1	
Taller II Equipos Móviles	120	Casillas A. L. (1998). Máquinas: Cálculos de Taller. España. Ed Máquinas	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	"Galabru, P. (1964). Tratado de procedimientos generales de construcción:
Maquinaria general en obras y movimientos de tierra (Vol. 1). Reverté."	No indica	184	2	0	1	
Taller II Equipos Móviles	120	"Ibáñez, S. P. (2013). Mantenimiento de sistemas auxiliares del motor de ciclo
diésel. TMVG0409. IC Editorial."	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	"Melchor, J. C. R. (2013). Mantenimiento de sistemas auxiliares del motor de ciclo
Otto. TMVG0409. IC Editorial."	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	Alonso, J. M. (2001). Sistemas de transmisión y frenado.	No indica	0	0	0	0	0
Taller II Equipos Móviles	120	"Cirovic, M. M. (1979). Electrónica fundamental: dispositivos, circuitos y sistemas.
Reverté."	No indica	27132	0	2	0	0
Taller II Equipos Móviles	120	"Boylestad, R. L., & Nashelsky, L. (2003). Electrónica: teoría de circuitos y
dispositivos electrónicos. PEARSON educación."	No indica	22558	0	2	0	0
Taller II Equipos Móviles	120	Ogata, K. (2003). Ingeniería de control moderna. Pearson Educación.	No indica	18648	4	10	1	1
Inglés II	210	UDA English Center. (2018). Material propio elaborado por académicos.	Obligatoria	0	0	0	0	0
Inglés II	210	"Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United
Kingdom: Cambridge University Press."	Complementaria	28320	20	0	1	
Inglés II	210	"Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University
Press."	Complementaria	27074	12	0	1	
Inglés II	210	"McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.).
Cambridge University Press."	Complementaria	27276	2	0	1	
Inglés II	210	"Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University
Press."	Complementaria	26240	2	0	1	
Inglés II	210	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press	Complementaria	27243	3	0	1	
Inglés II	210	"Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University
Press."	Complementaria	27242	3	0	1	
Oleohidraulica y Neumatica	210	Solé, A. C. (2012). Neumática e hidráulica. Marcombo.	Obligatoria	22266	3	2	1	1
Oleohidraulica y Neumatica	210	Salvador, A. G. (1988). Introducción a la neumática (Vol. 11). Marcombo	Obligatoria	17175	3	0	1	
Oleohidraulica y Neumatica	210	"Viloria, J. R. (2012). Tecnología y circuitos de aplicacion de neumatica hidraulica
y electricidad. Editorial Paraninfo."	Obligatoria	0	0	0	0	0
Oleohidraulica y Neumatica	210	"Viloria, J. R. (2012). Tecnología y circuitos de aplicacion de neumatica hidraulica
y electricidad. Editorial Paraninfo. "	Complementaria	0	0	0	0	0
Procesos de Corte y Soldadura	210	Valdez Serrano. (2009) Fundición y soldadura. El Cid Editor	Obligatoria	0	0	0	0	0
Procesos de Corte y Soldadura	210	"Houldcroft, P. T. (Peter Thomas). ( 2000). Tecnología de los procesos de
soldadura. CEAC"	Obligatoria	22722	7	0	1	
Procesos de Corte y Soldadura	210	"Sánchez Fulgueira, Manuel. ( 2012). Operaciones de unión : montaje y puesta en
marcha de bienes de equipo y maquinaria industrial. IC Editorial"	Obligatoria	0	0	0	0	0
Procesos de Corte y Soldadura	210	"Arriaga Segundo, Leobardo. (2008). Procesos de soldadura. Instituto Politécnico
Nacional"	Obligatoria	0	0	0	0	0
Procesos de Corte y Soldadura	210	"Reina Gómez, Manuel. (2003). Soldadura de los aceros : aplicaciones. Weldwork
S.L."	Obligatoria	0	0	0	0	0
Procesos de Corte y Soldadura	210	Molera Solà, Pere. (2009). Soldadura industrial : clases y aplicaciones. Marcombo	Obligatoria	22701	4	0	1	
Procesos de Corte y Soldadura	210	Giachino, Joseph William. (1996). Técnica y práctica de la soldadura. Reverté	Obligatoria	22712	7	0	1	
Procesos de Corte y Soldadura	210	Appold, Hans. (1984). Tecnología de los metales para profesiones técnicomecánicas. Reverté	Obligatoria	22783	4	0	1	
Técnicas de Mantenimiento Predictivo Industrial	210	"Asociación Española de Ensayos No Destructivos. (2002). Ensayos no
destructivos: líquidos penetrantes nivel II . Madrid: Fundación Confemetal."	No indica	22754	5	0	1	
Técnicas de Mantenimiento Predictivo Industrial	210	"Castillo González, Denis Román; Escalona Rodríguez, Ernesto Antonio.
(2003). Medición de vibración y análisis de aceite: Técnicas aplicadas al
mantenimiento predictivo en Mina Los Colorados. Colección Tesis UDA"	No indica	19419	2	0	1	
Técnicas de Mantenimiento Predictivo Industrial	210	"Gallegos Tiska, Patricio Esteban; Ordenes Avalos, Jorge Geovanni.
(2010). Análisis de Vibraciones Inalámbrica en Equipo Crítico de
Mantoverde. Colección Tesis UDA."	No indica	23580	2	0	1	
Taller III Mantenimiento Mecánico de Equipos Fijos y Móviles	210	"Kovtun, E. (1990). Instalación de Máquinas Herramienta. Edit. Pueblo y
Educación. "	No indica	0	0	0	0	0
Taller III Mantenimiento Mecánico de Equipos Fijos y Móviles	210	"Frómeta, J & Kovtun, E. (1977). Reparación de Piezas Típicas de las Máquinas
Herramienta. Edit. Científico-Técnica."	No indica	0	0	0	0	0
Taller III Mantenimiento Mecánico de Equipos Fijos y Móviles	210	"Frómeta, J & Kovtun, E. (1977). Reparación General de las Máquinas
Herramienta. 1ra. y 2da. parte. Edit. Pueblo y Educación."	No indica	0	0	0	0	0
Taller III Mantenimiento Mecánico de Equipos Fijos y Móviles	210	" Sánchez Rodríguez, L. y Cuenca Alfonso, A. (1988). Tecnología de Montaje y
Mantenimiento de Plantas Metalúrgicas. Edit. Pueblo y Educación."	No indica	0	0	0	0	0
Taller III Mantenimiento Mecánico de Equipos Fijos y Móviles	210	"Morales, A. (1988). Manual de Mantenimiento y Reparación de Equipos
Industriales. Edit. Orbe"	No indica	0	0	0	0	0
Proyecto de Titulación	220	"Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila:
Diálogos sobre ética. Barcelona: Gedisa Editorial."	Obligatoria	0	0	0	0	0
Proyecto de Titulación	220	"Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a.
ed.). Naucalpan de Juárez: Pearson Educación."	Obligatoria	24839	1	0	1	
Proyecto de Titulación	220	Ñaupas, P. H., Valdivia, D. M. R., Palacios, V. J. J., & Romero, D. H. E. (2018).Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	Complementaria	27861	3	6	1	1
Proyecto de Titulación	220	"Hernández, S. R., & Fernández, C. C. B. L. M. P. (January 01, 2010). Metodología
de la investigación."	Complementaria	25115	18	0	1	
Practica Laboral	220	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	Obligatoria	25975	1	0	1	
Practica Laboral	220	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.
Madrid: Narcea Edición."	Obligatoria	22639	1	0	1	
Practica Laboral	220	"Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión
metodológica y práctica profesional. Madrid: Síntesis."	Obligatoria	14923	8	0	1	
Practica Laboral	220	"Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005).
Comunicación organizacional: Principios y prácticas para negocios y profesiones.
México: McGraw-Hill."	Complementaria	20977	3	0	1	
